participant_no,sentence_type_nor,sentence_type_nor_code,sentence_code,rating
1,acceptable_mono_refl,1,1a,5
1,unacceptable_di_poss,4,1d,1
1,unacceptable_mono_poss,2,2b,1
1,acceptable_di_refl,3,2c,5
1,acceptable_mono_refl,1,3a,5
1,unacceptable_di_poss,4,3d,1
1,unacceptable_mono_poss,2,4b,1
1,acceptable_di_refl,3,4c,1
1,acceptable_mono_refl,1,5a,5
1,unacceptable_di_poss,4,5d,3
1,unacceptable_mono_poss,2,6b,1
1,acceptable_di_refl,3,6c,3
1,acceptable_mono_refl,1,7a,5
1,unacceptable_di_poss,4,7d,4
1,unacceptable_mono_poss,2,8b,1
1,acceptable_di_refl,3,8c,4
1,acceptable_mono_refl,1,9a,4
1,unacceptable_di_poss,4,9d,1
1,unacceptable_mono_poss,2,10b,1
1,acceptable_di_refl,3,10c,5
2,acceptable_mono_refl,1,1a,5
2,unacceptable_di_poss,4,1d,1
2,unacceptable_mono_poss,2,2b,5
2,acceptable_di_refl,3,2c,5
2,acceptable_mono_refl,1,3a,5
2,unacceptable_di_poss,4,3d,3
2,unacceptable_mono_poss,2,4b,5
2,acceptable_di_refl,3,4c,5
2,acceptable_mono_refl,1,5a,1
2,unacceptable_di_poss,4,5d,5
2,unacceptable_mono_poss,2,6b,5
2,acceptable_di_refl,3,6c,5
2,acceptable_mono_refl,1,7a,5
2,unacceptable_di_poss,4,7d,1
2,unacceptable_mono_poss,2,8b,5
2,acceptable_di_refl,3,8c,5
2,acceptable_mono_refl,1,9a,5
2,unacceptable_di_poss,4,9d,5
2,unacceptable_mono_poss,2,10b,5
2,acceptable_di_refl,3,10c,1
3,acceptable_mono_refl,1,1a,5
3,unacceptable_di_poss,4,1d,1
3,unacceptable_mono_poss,2,2b,5
3,acceptable_di_refl,3,2c,5
3,acceptable_mono_refl,1,3a,5
3,unacceptable_di_poss,4,3d,1
3,unacceptable_mono_poss,2,4b,3
3,acceptable_di_refl,3,4c,1
3,acceptable_mono_refl,1,5a,5
3,unacceptable_di_poss,4,5d,1
3,unacceptable_mono_poss,2,6b,1
3,acceptable_di_refl,3,6c,2
3,acceptable_mono_refl,1,7a,5
3,unacceptable_di_poss,4,7d,1
3,unacceptable_mono_poss,2,8b,1
3,acceptable_di_refl,3,8c,5
3,acceptable_mono_refl,1,9a,4
3,unacceptable_di_poss,4,9d,2
3,unacceptable_mono_poss,2,10b,1
3,acceptable_di_refl,3,10c,5
4,acceptable_mono_refl,1,1a,4
4,unacceptable_di_poss,4,1d,2
4,unacceptable_mono_poss,2,2b,4
4,acceptable_di_refl,3,2c,5
4,acceptable_mono_refl,1,3a,4
4,unacceptable_di_poss,4,3d,2
4,unacceptable_mono_poss,2,4b,2
4,acceptable_di_refl,3,4c,2
4,acceptable_mono_refl,1,5a,4
4,unacceptable_di_poss,4,5d,4
4,unacceptable_mono_poss,2,6b,2
4,acceptable_di_refl,3,6c,4
4,acceptable_mono_refl,1,7a,4
4,unacceptable_di_poss,4,7d,2
4,unacceptable_mono_poss,2,8b,1
4,acceptable_di_refl,3,8c,3
4,acceptable_mono_refl,1,9a,2
4,unacceptable_di_poss,4,9d,2
4,unacceptable_mono_poss,2,10b,4
4,acceptable_di_refl,3,10c,4
5,acceptable_mono_refl,1,1a,2
5,unacceptable_di_poss,4,1d,5
5,unacceptable_mono_poss,2,2b,5
5,acceptable_di_refl,3,2c,3
5,acceptable_mono_refl,1,3a,5
5,unacceptable_di_poss,4,3d,4
5,unacceptable_mono_poss,2,4b,2
5,acceptable_di_refl,3,4c,4
5,acceptable_mono_refl,1,5a,5
5,unacceptable_di_poss,4,5d,1
5,unacceptable_mono_poss,2,6b,5
5,acceptable_di_refl,3,6c,4
5,acceptable_mono_refl,1,7a,5
5,unacceptable_di_poss,4,7d,4
5,unacceptable_mono_poss,2,8b,3
5,acceptable_di_refl,3,8c,2
5,acceptable_mono_refl,1,9a,3
5,unacceptable_di_poss,4,9d,1
5,unacceptable_mono_poss,2,10b,4
5,acceptable_di_refl,3,10c,5
6,acceptable_mono_refl,1,1a,3
6,unacceptable_di_poss,4,1d,4
6,unacceptable_mono_poss,2,2b,5
6,acceptable_di_refl,3,2c,2
6,acceptable_mono_refl,1,3a,2
6,unacceptable_di_poss,4,3d,1
6,unacceptable_mono_poss,2,4b,4
6,acceptable_di_refl,3,4c,5
6,acceptable_mono_refl,1,5a,3
6,unacceptable_di_poss,4,5d,5
6,unacceptable_mono_poss,2,6b,4
6,acceptable_di_refl,3,6c,3
6,acceptable_mono_refl,1,7a,4
6,unacceptable_di_poss,4,7d,5
6,unacceptable_mono_poss,2,8b,2
6,acceptable_di_refl,3,8c,2
6,acceptable_mono_refl,1,9a,1
6,unacceptable_di_poss,4,9d,3
6,unacceptable_mono_poss,2,10b,4
6,acceptable_di_refl,3,10c,1
7,acceptable_mono_refl,1,1a,5
7,unacceptable_di_poss,4,1d,1
7,unacceptable_mono_poss,2,2b,5
7,acceptable_di_refl,3,2c,5
7,acceptable_mono_refl,1,3a,5
7,unacceptable_di_poss,4,3d,2
7,unacceptable_mono_poss,2,4b,3
7,acceptable_di_refl,3,4c,5
7,acceptable_mono_refl,1,5a,5
7,unacceptable_di_poss,4,5d,2
7,unacceptable_mono_poss,2,6b,4
7,acceptable_di_refl,3,6c,4
7,acceptable_mono_refl,1,7a,2
7,unacceptable_di_poss,4,7d,5
7,unacceptable_mono_poss,2,8b,1
7,acceptable_di_refl,3,8c,5
7,acceptable_mono_refl,1,9a,3
7,unacceptable_di_poss,4,9d,5
7,unacceptable_mono_poss,2,10b,5
7,acceptable_di_refl,3,10c,5
8,acceptable_mono_refl,1,1a,5
8,unacceptable_di_poss,4,1d,5
8,unacceptable_mono_poss,2,2b,5
8,acceptable_di_refl,3,2c,5
8,acceptable_mono_refl,1,3a,4
8,unacceptable_di_poss,4,3d,5
8,unacceptable_mono_poss,2,4b,5
8,acceptable_di_refl,3,4c,1
8,acceptable_mono_refl,1,5a,3
8,unacceptable_di_poss,4,5d,2
8,unacceptable_mono_poss,2,6b,4
8,acceptable_di_refl,3,6c,3
8,acceptable_mono_refl,1,7a,4
8,unacceptable_di_poss,4,7d,2
8,unacceptable_mono_poss,2,8b,4
8,acceptable_di_refl,3,8c,4
8,acceptable_mono_refl,1,9a,4
8,unacceptable_di_poss,4,9d,5
8,unacceptable_mono_poss,2,10b,5
8,acceptable_di_refl,3,10c,4
9,unacceptable_mono_poss,2,1b,1
9,acceptable_di_refl,3,1c,5
9,acceptable_mono_refl,1,2a,1
9,unacceptable_di_poss,3,2d,1
9,unacceptable_mono_poss,2,3b,2
9,acceptable_di_refl,3,3c,5
9,acceptable_mono_refl,1,4a,4
9,unacceptable_di_poss,3,4d,3
9,unacceptable_mono_poss,2,5b,5
9,acceptable_di_refl,3,5c,4
9,acceptable_mono_refl,1,6a,5
9,unacceptable_di_poss,3,6d,3
9,unacceptable_mono_poss,2,7b,5
9,acceptable_di_refl,3,7c,5
9,acceptable_mono_refl,1,8a,5
9,unacceptable_di_poss,3,8d,4
9,unacceptable_mono_poss,2,9b,4
9,acceptable_di_refl,3,9c,5
9,acceptable_mono_refl,1,10a,1
9,unacceptable_di_poss,3,10d,3
10,unacceptable_mono_poss,2,1b,4
10,acceptable_di_refl,3,1c,3
10,acceptable_mono_refl,1,2a,4
10,unacceptable_di_poss,3,2d,5
10,unacceptable_mono_poss,2,3b,5
10,acceptable_di_refl,3,3c,4
10,acceptable_mono_refl,1,4a,3
10,unacceptable_di_poss,3,4d,3
10,unacceptable_mono_poss,2,5b,4
10,acceptable_di_refl,3,5c,4
10,acceptable_mono_refl,1,6a,2
10,unacceptable_di_poss,3,6d,4
10,unacceptable_mono_poss,2,7b,3
10,acceptable_di_refl,3,7c,4
10,acceptable_mono_refl,1,8a,4
10,unacceptable_di_poss,3,8d,4
10,unacceptable_mono_poss,2,9b,4
10,acceptable_di_refl,3,9c,1
10,acceptable_mono_refl,1,10a,5
10,unacceptable_di_poss,3,10d,4
11,unacceptable_mono_poss,2,1b,3
11,acceptable_di_refl,3,1c,4
11,acceptable_mono_refl,1,2a,4
11,unacceptable_di_poss,3,2d,1
11,unacceptable_mono_poss,2,3b,3
11,acceptable_di_refl,3,3c,5
11,acceptable_mono_refl,1,4a,4
11,unacceptable_di_poss,3,4d,5
11,unacceptable_mono_poss,2,5b,1
11,acceptable_di_refl,3,5c,5
11,acceptable_mono_refl,1,6a,5
11,unacceptable_di_poss,3,6d,5
11,unacceptable_mono_poss,2,7b,3
11,acceptable_di_refl,3,7c,5
11,acceptable_mono_refl,1,8a,4
11,unacceptable_di_poss,3,8d,5
11,unacceptable_mono_poss,2,9b,4
11,acceptable_di_refl,3,9c,3
11,acceptable_mono_refl,1,10a,1
11,unacceptable_di_poss,3,10d,1
12,unacceptable_mono_poss,2,1b,4
12,acceptable_di_refl,3,1c,4
12,acceptable_mono_refl,1,2a,5
12,unacceptable_di_poss,3,2d,1
12,unacceptable_mono_poss,2,3b,4
12,acceptable_di_refl,3,3c,2
12,acceptable_mono_refl,1,4a,4
12,unacceptable_di_poss,3,4d,3
12,unacceptable_mono_poss,2,5b,3
12,acceptable_di_refl,3,5c,5
12,acceptable_mono_refl,1,6a,2
12,unacceptable_di_poss,3,6d,4
12,unacceptable_mono_poss,2,7b,3
12,acceptable_di_refl,3,7c,3
12,acceptable_mono_refl,1,8a,3
12,unacceptable_di_poss,3,8d,2
12,unacceptable_mono_poss,2,9b,3
12,acceptable_di_refl,3,9c,3
12,acceptable_mono_refl,1,10a,5
12,unacceptable_di_poss,3,10d,2
13,unacceptable_mono_poss,2,1b,4
13,acceptable_di_refl,3,1c,2
13,acceptable_mono_refl,1,2a,5
13,unacceptable_di_poss,3,2d,3
13,unacceptable_mono_poss,2,3b,4
13,acceptable_di_refl,3,3c,4
13,acceptable_mono_refl,1,4a,4
13,unacceptable_di_poss,3,4d,5
13,unacceptable_mono_poss,2,5b,5
13,acceptable_di_refl,3,5c,5
13,acceptable_mono_refl,1,6a,4
13,unacceptable_di_poss,3,6d,4
13,unacceptable_mono_poss,2,7b,5
13,acceptable_di_refl,3,7c,5
13,acceptable_mono_refl,1,8a,5
13,unacceptable_di_poss,3,8d,3
13,unacceptable_mono_poss,2,9b,4
13,acceptable_di_refl,3,9c,1
13,acceptable_mono_refl,1,10a,5
13,unacceptable_di_poss,3,10d,NA
14,unacceptable_mono_poss,2,1b,5
14,acceptable_di_refl,3,1c,5
14,acceptable_mono_refl,1,2a,5
14,unacceptable_di_poss,3,2d,5
14,unacceptable_mono_poss,2,3b,5
14,acceptable_di_refl,3,3c,5
14,acceptable_mono_refl,1,4a,5
14,unacceptable_di_poss,3,4d,5
14,unacceptable_mono_poss,2,5b,3
14,acceptable_di_refl,3,5c,4
14,acceptable_mono_refl,1,6a,5
14,unacceptable_di_poss,3,6d,5
14,unacceptable_mono_poss,2,7b,5
14,acceptable_di_refl,3,7c,4
14,acceptable_mono_refl,1,8a,3
14,unacceptable_di_poss,3,8d,2
14,unacceptable_mono_poss,2,9b,3
14,acceptable_di_refl,3,9c,5
14,acceptable_mono_refl,1,10a,4
14,unacceptable_di_poss,3,10d,1
15,unacceptable_mono_poss,2,1b,4
15,acceptable_di_refl,3,1c,5
15,acceptable_mono_refl,1,2a,4
15,unacceptable_di_poss,3,2d,5
15,unacceptable_mono_poss,2,3b,3
15,acceptable_di_refl,3,3c,2
15,acceptable_mono_refl,1,4a,4
15,unacceptable_di_poss,3,4d,5
15,unacceptable_mono_poss,2,5b,4
15,acceptable_di_refl,3,5c,3
15,acceptable_mono_refl,1,6a,4
15,unacceptable_di_poss,3,6d,3
15,unacceptable_mono_poss,2,7b,5
15,acceptable_di_refl,3,7c,2
15,acceptable_mono_refl,1,8a,2
15,unacceptable_di_poss,3,8d,5
15,unacceptable_mono_poss,2,9b,3
15,acceptable_di_refl,3,9c,1
15,acceptable_mono_refl,1,10a,2
15,unacceptable_di_poss,3,10d,4