"","participant_no","acceptable","tran","poss","sentence_type_nor_code","sentence_code","rating","group"
"1",1,"acceptable","mono","refl",1,"1a",5,"Norweigan"
"2",1,"unacceptable","di","poss",4,"1d",1,"Norweigan"
"3",1,"unacceptable","mono","poss",2,"2b",1,"Norweigan"
"4",1,"acceptable","di","refl",3,"2c",5,"Norweigan"
"5",1,"acceptable","mono","refl",1,"3a",5,"Norweigan"
"6",1,"unacceptable","di","poss",4,"3d",1,"Norweigan"
"7",1,"unacceptable","mono","poss",2,"4b",1,"Norweigan"
"8",1,"acceptable","di","refl",3,"4c",1,"Norweigan"
"9",1,"acceptable","mono","refl",1,"5a",5,"Norweigan"
"10",1,"unacceptable","di","poss",4,"5d",3,"Norweigan"
"11",1,"unacceptable","mono","poss",2,"6b",1,"Norweigan"
"12",1,"acceptable","di","refl",3,"6c",3,"Norweigan"
"13",1,"acceptable","mono","refl",1,"7a",5,"Norweigan"
"14",1,"unacceptable","di","poss",4,"7d",4,"Norweigan"
"15",1,"unacceptable","mono","poss",2,"8b",1,"Norweigan"
"16",1,"acceptable","di","refl",3,"8c",4,"Norweigan"
"17",1,"acceptable","mono","refl",1,"9a",4,"Norweigan"
"18",1,"unacceptable","di","poss",4,"9d",1,"Norweigan"
"19",1,"unacceptable","mono","poss",2,"10b",1,"Norweigan"
"20",1,"acceptable","di","refl",3,"10c",5,"Norweigan"
"21",2,"acceptable","mono","refl",1,"1a",5,"Norweigan"
"22",2,"unacceptable","di","poss",4,"1d",1,"Norweigan"
"23",2,"unacceptable","mono","poss",2,"2b",5,"Norweigan"
"24",2,"acceptable","di","refl",3,"2c",5,"Norweigan"
"25",2,"acceptable","mono","refl",1,"3a",5,"Norweigan"
"26",2,"unacceptable","di","poss",4,"3d",3,"Norweigan"
"27",2,"unacceptable","mono","poss",2,"4b",5,"Norweigan"
"28",2,"acceptable","di","refl",3,"4c",5,"Norweigan"
"29",2,"acceptable","mono","refl",1,"5a",1,"Norweigan"
"30",2,"unacceptable","di","poss",4,"5d",5,"Norweigan"
"31",2,"unacceptable","mono","poss",2,"6b",5,"Norweigan"
"32",2,"acceptable","di","refl",3,"6c",5,"Norweigan"
"33",2,"acceptable","mono","refl",1,"7a",5,"Norweigan"
"34",2,"unacceptable","di","poss",4,"7d",1,"Norweigan"
"35",2,"unacceptable","mono","poss",2,"8b",5,"Norweigan"
"36",2,"acceptable","di","refl",3,"8c",5,"Norweigan"
"37",2,"acceptable","mono","refl",1,"9a",5,"Norweigan"
"38",2,"unacceptable","di","poss",4,"9d",5,"Norweigan"
"39",2,"unacceptable","mono","poss",2,"10b",5,"Norweigan"
"40",2,"acceptable","di","refl",3,"10c",1,"Norweigan"
"41",3,"acceptable","mono","refl",1,"1a",5,"Norweigan"
"42",3,"unacceptable","di","poss",4,"1d",1,"Norweigan"
"43",3,"unacceptable","mono","poss",2,"2b",5,"Norweigan"
"44",3,"acceptable","di","refl",3,"2c",5,"Norweigan"
"45",3,"acceptable","mono","refl",1,"3a",5,"Norweigan"
"46",3,"unacceptable","di","poss",4,"3d",1,"Norweigan"
"47",3,"unacceptable","mono","poss",2,"4b",3,"Norweigan"
"48",3,"acceptable","di","refl",3,"4c",1,"Norweigan"
"49",3,"acceptable","mono","refl",1,"5a",5,"Norweigan"
"50",3,"unacceptable","di","poss",4,"5d",1,"Norweigan"
"51",3,"unacceptable","mono","poss",2,"6b",1,"Norweigan"
"52",3,"acceptable","di","refl",3,"6c",2,"Norweigan"
"53",3,"acceptable","mono","refl",1,"7a",5,"Norweigan"
"54",3,"unacceptable","di","poss",4,"7d",1,"Norweigan"
"55",3,"unacceptable","mono","poss",2,"8b",1,"Norweigan"
"56",3,"acceptable","di","refl",3,"8c",5,"Norweigan"
"57",3,"acceptable","mono","refl",1,"9a",4,"Norweigan"
"58",3,"unacceptable","di","poss",4,"9d",2,"Norweigan"
"59",3,"unacceptable","mono","poss",2,"10b",1,"Norweigan"
"60",3,"acceptable","di","refl",3,"10c",5,"Norweigan"
"61",4,"acceptable","mono","refl",1,"1a",4,"Norweigan"
"62",4,"unacceptable","di","poss",4,"1d",2,"Norweigan"
"63",4,"unacceptable","mono","poss",2,"2b",4,"Norweigan"
"64",4,"acceptable","di","refl",3,"2c",5,"Norweigan"
"65",4,"acceptable","mono","refl",1,"3a",4,"Norweigan"
"66",4,"unacceptable","di","poss",4,"3d",2,"Norweigan"
"67",4,"unacceptable","mono","poss",2,"4b",2,"Norweigan"
"68",4,"acceptable","di","refl",3,"4c",2,"Norweigan"
"69",4,"acceptable","mono","refl",1,"5a",4,"Norweigan"
"70",4,"unacceptable","di","poss",4,"5d",4,"Norweigan"
"71",4,"unacceptable","mono","poss",2,"6b",2,"Norweigan"
"72",4,"acceptable","di","refl",3,"6c",4,"Norweigan"
"73",4,"acceptable","mono","refl",1,"7a",4,"Norweigan"
"74",4,"unacceptable","di","poss",4,"7d",2,"Norweigan"
"75",4,"unacceptable","mono","poss",2,"8b",1,"Norweigan"
"76",4,"acceptable","di","refl",3,"8c",3,"Norweigan"
"77",4,"acceptable","mono","refl",1,"9a",2,"Norweigan"
"78",4,"unacceptable","di","poss",4,"9d",2,"Norweigan"
"79",4,"unacceptable","mono","poss",2,"10b",4,"Norweigan"
"80",4,"acceptable","di","refl",3,"10c",4,"Norweigan"
"81",5,"acceptable","mono","refl",1,"1a",2,"Norweigan"
"82",5,"unacceptable","di","poss",4,"1d",5,"Norweigan"
"83",5,"unacceptable","mono","poss",2,"2b",5,"Norweigan"
"84",5,"acceptable","di","refl",3,"2c",3,"Norweigan"
"85",5,"acceptable","mono","refl",1,"3a",5,"Norweigan"
"86",5,"unacceptable","di","poss",4,"3d",4,"Norweigan"
"87",5,"unacceptable","mono","poss",2,"4b",2,"Norweigan"
"88",5,"acceptable","di","refl",3,"4c",4,"Norweigan"
"89",5,"acceptable","mono","refl",1,"5a",5,"Norweigan"
"90",5,"unacceptable","di","poss",4,"5d",1,"Norweigan"
"91",5,"unacceptable","mono","poss",2,"6b",5,"Norweigan"
"92",5,"acceptable","di","refl",3,"6c",4,"Norweigan"
"93",5,"acceptable","mono","refl",1,"7a",5,"Norweigan"
"94",5,"unacceptable","di","poss",4,"7d",4,"Norweigan"
"95",5,"unacceptable","mono","poss",2,"8b",3,"Norweigan"
"96",5,"acceptable","di","refl",3,"8c",2,"Norweigan"
"97",5,"acceptable","mono","refl",1,"9a",3,"Norweigan"
"98",5,"unacceptable","di","poss",4,"9d",1,"Norweigan"
"99",5,"unacceptable","mono","poss",2,"10b",4,"Norweigan"
"100",5,"acceptable","di","refl",3,"10c",5,"Norweigan"
"101",6,"acceptable","mono","refl",1,"1a",3,"Norweigan"
"102",6,"unacceptable","di","poss",4,"1d",4,"Norweigan"
"103",6,"unacceptable","mono","poss",2,"2b",5,"Norweigan"
"104",6,"acceptable","di","refl",3,"2c",2,"Norweigan"
"105",6,"acceptable","mono","refl",1,"3a",2,"Norweigan"
"106",6,"unacceptable","di","poss",4,"3d",1,"Norweigan"
"107",6,"unacceptable","mono","poss",2,"4b",4,"Norweigan"
"108",6,"acceptable","di","refl",3,"4c",5,"Norweigan"
"109",6,"acceptable","mono","refl",1,"5a",3,"Norweigan"
"110",6,"unacceptable","di","poss",4,"5d",5,"Norweigan"
"111",6,"unacceptable","mono","poss",2,"6b",4,"Norweigan"
"112",6,"acceptable","di","refl",3,"6c",3,"Norweigan"
"113",6,"acceptable","mono","refl",1,"7a",4,"Norweigan"
"114",6,"unacceptable","di","poss",4,"7d",5,"Norweigan"
"115",6,"unacceptable","mono","poss",2,"8b",2,"Norweigan"
"116",6,"acceptable","di","refl",3,"8c",2,"Norweigan"
"117",6,"acceptable","mono","refl",1,"9a",1,"Norweigan"
"118",6,"unacceptable","di","poss",4,"9d",3,"Norweigan"
"119",6,"unacceptable","mono","poss",2,"10b",4,"Norweigan"
"120",6,"acceptable","di","refl",3,"10c",1,"Norweigan"
"121",7,"acceptable","mono","refl",1,"1a",5,"Norweigan"
"122",7,"unacceptable","di","poss",4,"1d",1,"Norweigan"
"123",7,"unacceptable","mono","poss",2,"2b",5,"Norweigan"
"124",7,"acceptable","di","refl",3,"2c",5,"Norweigan"
"125",7,"acceptable","mono","refl",1,"3a",5,"Norweigan"
"126",7,"unacceptable","di","poss",4,"3d",2,"Norweigan"
"127",7,"unacceptable","mono","poss",2,"4b",3,"Norweigan"
"128",7,"acceptable","di","refl",3,"4c",5,"Norweigan"
"129",7,"acceptable","mono","refl",1,"5a",5,"Norweigan"
"130",7,"unacceptable","di","poss",4,"5d",2,"Norweigan"
"131",7,"unacceptable","mono","poss",2,"6b",4,"Norweigan"
"132",7,"acceptable","di","refl",3,"6c",4,"Norweigan"
"133",7,"acceptable","mono","refl",1,"7a",2,"Norweigan"
"134",7,"unacceptable","di","poss",4,"7d",5,"Norweigan"
"135",7,"unacceptable","mono","poss",2,"8b",1,"Norweigan"
"136",7,"acceptable","di","refl",3,"8c",5,"Norweigan"
"137",7,"acceptable","mono","refl",1,"9a",3,"Norweigan"
"138",7,"unacceptable","di","poss",4,"9d",5,"Norweigan"
"139",7,"unacceptable","mono","poss",2,"10b",5,"Norweigan"
"140",7,"acceptable","di","refl",3,"10c",5,"Norweigan"
"141",8,"acceptable","mono","refl",1,"1a",5,"Norweigan"
"142",8,"unacceptable","di","poss",4,"1d",5,"Norweigan"
"143",8,"unacceptable","mono","poss",2,"2b",5,"Norweigan"
"144",8,"acceptable","di","refl",3,"2c",5,"Norweigan"
"145",8,"acceptable","mono","refl",1,"3a",4,"Norweigan"
"146",8,"unacceptable","di","poss",4,"3d",5,"Norweigan"
"147",8,"unacceptable","mono","poss",2,"4b",5,"Norweigan"
"148",8,"acceptable","di","refl",3,"4c",1,"Norweigan"
"149",8,"acceptable","mono","refl",1,"5a",3,"Norweigan"
"150",8,"unacceptable","di","poss",4,"5d",2,"Norweigan"
"151",8,"unacceptable","mono","poss",2,"6b",4,"Norweigan"
"152",8,"acceptable","di","refl",3,"6c",3,"Norweigan"
"153",8,"acceptable","mono","refl",1,"7a",4,"Norweigan"
"154",8,"unacceptable","di","poss",4,"7d",2,"Norweigan"
"155",8,"unacceptable","mono","poss",2,"8b",4,"Norweigan"
"156",8,"acceptable","di","refl",3,"8c",4,"Norweigan"
"157",8,"acceptable","mono","refl",1,"9a",4,"Norweigan"
"158",8,"unacceptable","di","poss",4,"9d",5,"Norweigan"
"159",8,"unacceptable","mono","poss",2,"10b",5,"Norweigan"
"160",8,"acceptable","di","refl",3,"10c",4,"Norweigan"
"161",9,"unacceptable","mono","poss",2,"1b",1,"Norweigan"
"162",9,"acceptable","di","refl",3,"1c",5,"Norweigan"
"163",9,"acceptable","mono","refl",1,"2a",1,"Norweigan"
"164",9,"unacceptable","di","poss",3,"2d",1,"Norweigan"
"165",9,"unacceptable","mono","poss",2,"3b",2,"Norweigan"
"166",9,"acceptable","di","refl",3,"3c",5,"Norweigan"
"167",9,"acceptable","mono","refl",1,"4a",4,"Norweigan"
"168",9,"unacceptable","di","poss",3,"4d",3,"Norweigan"
"169",9,"unacceptable","mono","poss",2,"5b",5,"Norweigan"
"170",9,"acceptable","di","refl",3,"5c",4,"Norweigan"
"171",9,"acceptable","mono","refl",1,"6a",5,"Norweigan"
"172",9,"unacceptable","di","poss",3,"6d",3,"Norweigan"
"173",9,"unacceptable","mono","poss",2,"7b",5,"Norweigan"
"174",9,"acceptable","di","refl",3,"7c",5,"Norweigan"
"175",9,"acceptable","mono","refl",1,"8a",5,"Norweigan"
"176",9,"unacceptable","di","poss",3,"8d",4,"Norweigan"
"177",9,"unacceptable","mono","poss",2,"9b",4,"Norweigan"
"178",9,"acceptable","di","refl",3,"9c",5,"Norweigan"
"179",9,"acceptable","mono","refl",1,"10a",1,"Norweigan"
"180",9,"unacceptable","di","poss",3,"10d",3,"Norweigan"
"181",10,"unacceptable","mono","poss",2,"1b",4,"Norweigan"
"182",10,"acceptable","di","refl",3,"1c",3,"Norweigan"
"183",10,"acceptable","mono","refl",1,"2a",4,"Norweigan"
"184",10,"unacceptable","di","poss",3,"2d",5,"Norweigan"
"185",10,"unacceptable","mono","poss",2,"3b",5,"Norweigan"
"186",10,"acceptable","di","refl",3,"3c",4,"Norweigan"
"187",10,"acceptable","mono","refl",1,"4a",3,"Norweigan"
"188",10,"unacceptable","di","poss",3,"4d",3,"Norweigan"
"189",10,"unacceptable","mono","poss",2,"5b",4,"Norweigan"
"190",10,"acceptable","di","refl",3,"5c",4,"Norweigan"
"191",10,"acceptable","mono","refl",1,"6a",2,"Norweigan"
"192",10,"unacceptable","di","poss",3,"6d",4,"Norweigan"
"193",10,"unacceptable","mono","poss",2,"7b",3,"Norweigan"
"194",10,"acceptable","di","refl",3,"7c",4,"Norweigan"
"195",10,"acceptable","mono","refl",1,"8a",4,"Norweigan"
"196",10,"unacceptable","di","poss",3,"8d",4,"Norweigan"
"197",10,"unacceptable","mono","poss",2,"9b",4,"Norweigan"
"198",10,"acceptable","di","refl",3,"9c",1,"Norweigan"
"199",10,"acceptable","mono","refl",1,"10a",5,"Norweigan"
"200",10,"unacceptable","di","poss",3,"10d",4,"Norweigan"
"201",11,"unacceptable","mono","poss",2,"1b",3,"Norweigan"
"202",11,"acceptable","di","refl",3,"1c",4,"Norweigan"
"203",11,"acceptable","mono","refl",1,"2a",4,"Norweigan"
"204",11,"unacceptable","di","poss",3,"2d",1,"Norweigan"
"205",11,"unacceptable","mono","poss",2,"3b",3,"Norweigan"
"206",11,"acceptable","di","refl",3,"3c",5,"Norweigan"
"207",11,"acceptable","mono","refl",1,"4a",4,"Norweigan"
"208",11,"unacceptable","di","poss",3,"4d",5,"Norweigan"
"209",11,"unacceptable","mono","poss",2,"5b",1,"Norweigan"
"210",11,"acceptable","di","refl",3,"5c",5,"Norweigan"
"211",11,"acceptable","mono","refl",1,"6a",5,"Norweigan"
"212",11,"unacceptable","di","poss",3,"6d",5,"Norweigan"
"213",11,"unacceptable","mono","poss",2,"7b",3,"Norweigan"
"214",11,"acceptable","di","refl",3,"7c",5,"Norweigan"
"215",11,"acceptable","mono","refl",1,"8a",4,"Norweigan"
"216",11,"unacceptable","di","poss",3,"8d",5,"Norweigan"
"217",11,"unacceptable","mono","poss",2,"9b",4,"Norweigan"
"218",11,"acceptable","di","refl",3,"9c",3,"Norweigan"
"219",11,"acceptable","mono","refl",1,"10a",1,"Norweigan"
"220",11,"unacceptable","di","poss",3,"10d",1,"Norweigan"
"221",12,"unacceptable","mono","poss",2,"1b",4,"Norweigan"
"222",12,"acceptable","di","refl",3,"1c",4,"Norweigan"
"223",12,"acceptable","mono","refl",1,"2a",5,"Norweigan"
"224",12,"unacceptable","di","poss",3,"2d",1,"Norweigan"
"225",12,"unacceptable","mono","poss",2,"3b",4,"Norweigan"
"226",12,"acceptable","di","refl",3,"3c",2,"Norweigan"
"227",12,"acceptable","mono","refl",1,"4a",4,"Norweigan"
"228",12,"unacceptable","di","poss",3,"4d",3,"Norweigan"
"229",12,"unacceptable","mono","poss",2,"5b",3,"Norweigan"
"230",12,"acceptable","di","refl",3,"5c",5,"Norweigan"
"231",12,"acceptable","mono","refl",1,"6a",2,"Norweigan"
"232",12,"unacceptable","di","poss",3,"6d",4,"Norweigan"
"233",12,"unacceptable","mono","poss",2,"7b",3,"Norweigan"
"234",12,"acceptable","di","refl",3,"7c",3,"Norweigan"
"235",12,"acceptable","mono","refl",1,"8a",3,"Norweigan"
"236",12,"unacceptable","di","poss",3,"8d",2,"Norweigan"
"237",12,"unacceptable","mono","poss",2,"9b",3,"Norweigan"
"238",12,"acceptable","di","refl",3,"9c",3,"Norweigan"
"239",12,"acceptable","mono","refl",1,"10a",5,"Norweigan"
"240",12,"unacceptable","di","poss",3,"10d",2,"Norweigan"
"241",13,"unacceptable","mono","poss",2,"1b",4,"Norweigan"
"242",13,"acceptable","di","refl",3,"1c",2,"Norweigan"
"243",13,"acceptable","mono","refl",1,"2a",5,"Norweigan"
"244",13,"unacceptable","di","poss",3,"2d",3,"Norweigan"
"245",13,"unacceptable","mono","poss",2,"3b",4,"Norweigan"
"246",13,"acceptable","di","refl",3,"3c",4,"Norweigan"
"247",13,"acceptable","mono","refl",1,"4a",4,"Norweigan"
"248",13,"unacceptable","di","poss",3,"4d",5,"Norweigan"
"249",13,"unacceptable","mono","poss",2,"5b",5,"Norweigan"
"250",13,"acceptable","di","refl",3,"5c",5,"Norweigan"
"251",13,"acceptable","mono","refl",1,"6a",4,"Norweigan"
"252",13,"unacceptable","di","poss",3,"6d",4,"Norweigan"
"253",13,"unacceptable","mono","poss",2,"7b",5,"Norweigan"
"254",13,"acceptable","di","refl",3,"7c",5,"Norweigan"
"255",13,"acceptable","mono","refl",1,"8a",5,"Norweigan"
"256",13,"unacceptable","di","poss",3,"8d",3,"Norweigan"
"257",13,"unacceptable","mono","poss",2,"9b",4,"Norweigan"
"258",13,"acceptable","di","refl",3,"9c",1,"Norweigan"
"259",13,"acceptable","mono","refl",1,"10a",5,"Norweigan"
"260",14,"unacceptable","mono","poss",2,"1b",5,"Norweigan"
"261",14,"acceptable","di","refl",3,"1c",5,"Norweigan"
"262",14,"acceptable","mono","refl",1,"2a",5,"Norweigan"
"263",14,"unacceptable","di","poss",3,"2d",5,"Norweigan"
"264",14,"unacceptable","mono","poss",2,"3b",5,"Norweigan"
"265",14,"acceptable","di","refl",3,"3c",5,"Norweigan"
"266",14,"acceptable","mono","refl",1,"4a",5,"Norweigan"
"267",14,"unacceptable","di","poss",3,"4d",5,"Norweigan"
"268",14,"unacceptable","mono","poss",2,"5b",3,"Norweigan"
"269",14,"acceptable","di","refl",3,"5c",4,"Norweigan"
"270",14,"acceptable","mono","refl",1,"6a",5,"Norweigan"
"271",14,"unacceptable","di","poss",3,"6d",5,"Norweigan"
"272",14,"unacceptable","mono","poss",2,"7b",5,"Norweigan"
"273",14,"acceptable","di","refl",3,"7c",4,"Norweigan"
"274",14,"acceptable","mono","refl",1,"8a",3,"Norweigan"
"275",14,"unacceptable","di","poss",3,"8d",2,"Norweigan"
"276",14,"unacceptable","mono","poss",2,"9b",3,"Norweigan"
"277",14,"acceptable","di","refl",3,"9c",5,"Norweigan"
"278",14,"acceptable","mono","refl",1,"10a",4,"Norweigan"
"279",14,"unacceptable","di","poss",3,"10d",1,"Norweigan"
"280",15,"unacceptable","mono","poss",2,"1b",4,"Norweigan"
"281",15,"acceptable","di","refl",3,"1c",5,"Norweigan"
"282",15,"acceptable","mono","refl",1,"2a",4,"Norweigan"
"283",15,"unacceptable","di","poss",3,"2d",5,"Norweigan"
"284",15,"unacceptable","mono","poss",2,"3b",3,"Norweigan"
"285",15,"acceptable","di","refl",3,"3c",2,"Norweigan"
"286",15,"acceptable","mono","refl",1,"4a",4,"Norweigan"
"287",15,"unacceptable","di","poss",3,"4d",5,"Norweigan"
"288",15,"unacceptable","mono","poss",2,"5b",4,"Norweigan"
"289",15,"acceptable","di","refl",3,"5c",3,"Norweigan"
"290",15,"acceptable","mono","refl",1,"6a",4,"Norweigan"
"291",15,"unacceptable","di","poss",3,"6d",3,"Norweigan"
"292",15,"unacceptable","mono","poss",2,"7b",5,"Norweigan"
"293",15,"acceptable","di","refl",3,"7c",2,"Norweigan"
"294",15,"acceptable","mono","refl",1,"8a",2,"Norweigan"
"295",15,"unacceptable","di","poss",3,"8d",5,"Norweigan"
"296",15,"unacceptable","mono","poss",2,"9b",3,"Norweigan"
"297",15,"acceptable","di","refl",3,"9c",1,"Norweigan"
"298",15,"acceptable","mono","refl",1,"10a",2,"Norweigan"
"299",15,"unacceptable","di","poss",3,"10d",4,"Norweigan"
