"","participant_no","acceptable","tran","poss","sentence_type_pol_code","sentence_code","rating","group"
"1",1,"acceptable","mono","refl",1,"1a",5,"Polish"
"2",1,"unacceptable","di","poss",4,"1d",3,"Polish"
"3",1,"unacceptable","mono","poss",2,"2b",4,"Polish"
"4",1,"acceptable","di","refl",3,"2c",5,"Polish"
"5",1,"acceptable","mono","refl",1,"3a",5,"Polish"
"6",1,"unacceptable","di","poss",4,"3d",4,"Polish"
"7",1,"unacceptable","mono","poss",2,"4b",4,"Polish"
"8",1,"acceptable","di","refl",3,"4c",2,"Polish"
"9",1,"acceptable","mono","refl",1,"5a",5,"Polish"
"10",1,"unacceptable","di","poss",4,"5d",5,"Polish"
"11",1,"unacceptable","mono","poss",2,"6b",5,"Polish"
"12",1,"acceptable","di","refl",3,"6c",5,"Polish"
"13",2,"unacceptable","di","poss",4,"1d",5,"Polish"
"14",2,"acceptable","di","refl",3,"2c",5,"Polish"
"15",2,"acceptable","mono","refl",1,"3a",5,"Polish"
"16",2,"unacceptable","di","poss",4,"3d",5,"Polish"
"17",2,"acceptable","di","refl",3,"6c",5,"Polish"
"18",3,"acceptable","mono","refl",1,"1a",5,"Polish"
"19",3,"unacceptable","di","poss",4,"1d",1,"Polish"
"20",3,"unacceptable","mono","poss",2,"2b",1,"Polish"
"21",3,"acceptable","di","refl",3,"2c",5,"Polish"
"22",3,"acceptable","mono","refl",1,"3a",5,"Polish"
"23",3,"unacceptable","di","poss",4,"3d",2,"Polish"
"24",3,"unacceptable","mono","poss",2,"4b",2,"Polish"
"25",3,"acceptable","di","refl",3,"4c",4,"Polish"
"26",3,"acceptable","mono","refl",1,"5a",2,"Polish"
"27",3,"unacceptable","di","poss",4,"5d",3,"Polish"
"28",3,"unacceptable","mono","poss",2,"6b",2,"Polish"
"29",3,"acceptable","di","refl",3,"6c",5,"Polish"
"30",4,"acceptable","mono","refl",1,"1a",5,"Polish"
"31",4,"unacceptable","di","poss",4,"1d",5,"Polish"
"32",4,"unacceptable","mono","poss",2,"2b",4,"Polish"
"33",4,"acceptable","di","refl",3,"2c",5,"Polish"
"34",4,"acceptable","mono","refl",1,"3a",5,"Polish"
"35",4,"unacceptable","di","poss",4,"3d",4,"Polish"
"36",4,"unacceptable","mono","poss",2,"4b",4,"Polish"
"37",4,"acceptable","di","refl",3,"4c",5,"Polish"
"38",4,"acceptable","mono","refl",1,"5a",4,"Polish"
"39",4,"unacceptable","di","poss",4,"5d",5,"Polish"
"40",4,"unacceptable","mono","poss",2,"6b",5,"Polish"
"41",4,"acceptable","di","refl",3,"6c",4,"Polish"
"42",5,"acceptable","mono","refl",1,"1a",3,"Polish"
"43",5,"unacceptable","di","poss",4,"1d",3,"Polish"
"44",5,"unacceptable","mono","poss",2,"2b",4,"Polish"
"45",5,"acceptable","di","refl",3,"2c",4,"Polish"
"46",5,"acceptable","mono","refl",1,"3a",4,"Polish"
"47",5,"unacceptable","di","poss",4,"3d",4,"Polish"
"48",5,"unacceptable","mono","poss",2,"4b",5,"Polish"
"49",5,"acceptable","di","refl",3,"4c",2,"Polish"
"50",5,"acceptable","mono","refl",1,"5a",5,"Polish"
"51",5,"unacceptable","di","poss",4,"5d",5,"Polish"
"52",5,"unacceptable","mono","poss",2,"6b",1,"Polish"
"53",5,"acceptable","di","refl",3,"6c",2,"Polish"
"54",6,"unacceptable","mono","poss",2,"1b",5,"Polish"
"55",6,"acceptable","di","refl",3,"1c",5,"Polish"
"56",6,"acceptable","mono","refl",1,"2a",5,"Polish"
"57",6,"unacceptable","di","poss",4,"2d",5,"Polish"
"58",6,"unacceptable","mono","poss",2,"3b",5,"Polish"
"59",6,"acceptable","di","refl",3,"3c",5,"Polish"
"60",6,"acceptable","mono","refl",1,"4a",5,"Polish"
"61",6,"unacceptable","di","poss",4,"4d",2,"Polish"
"62",6,"unacceptable","mono","poss",2,"5b",3,"Polish"
"63",6,"acceptable","di","refl",3,"5c",5,"Polish"
"64",6,"acceptable","mono","refl",1,"6a",5,"Polish"
"65",6,"unacceptable","di","poss",4,"6d",5,"Polish"
"66",7,"unacceptable","mono","poss",2,"1b",2,"Polish"
"67",7,"acceptable","di","refl",3,"1c",5,"Polish"
"68",7,"acceptable","mono","refl",1,"2a",5,"Polish"
"69",7,"unacceptable","di","poss",4,"2d",1,"Polish"
"70",7,"unacceptable","mono","poss",2,"3b",1,"Polish"
"71",7,"acceptable","di","refl",3,"3c",4,"Polish"
"72",7,"acceptable","mono","refl",1,"4a",5,"Polish"
"73",7,"unacceptable","di","poss",4,"4d",2,"Polish"
"74",7,"unacceptable","mono","poss",2,"5b",1,"Polish"
"75",7,"acceptable","di","refl",3,"5c",5,"Polish"
"76",7,"acceptable","mono","refl",1,"6a",5,"Polish"
"77",7,"unacceptable","di","poss",4,"6d",2,"Polish"
"78",8,"unacceptable","mono","poss",2,"1b",5,"Polish"
"79",8,"acceptable","di","refl",3,"1c",2,"Polish"
"80",8,"acceptable","mono","refl",1,"2a",5,"Polish"
"81",8,"unacceptable","di","poss",4,"2d",1,"Polish"
"82",8,"unacceptable","mono","poss",2,"3b",4,"Polish"
"83",8,"acceptable","di","refl",3,"3c",5,"Polish"
"84",8,"acceptable","mono","refl",1,"4a",3,"Polish"
"85",8,"unacceptable","di","poss",4,"4d",2,"Polish"
"86",8,"unacceptable","mono","poss",2,"5b",4,"Polish"
"87",8,"acceptable","di","refl",3,"5c",5,"Polish"
"88",8,"acceptable","mono","refl",1,"6a",5,"Polish"
"89",8,"unacceptable","di","poss",4,"6d",5,"Polish"
"90",9,"unacceptable","mono","poss",2,"1b",2,"Polish"
"91",9,"acceptable","di","refl",3,"1c",5,"Polish"
"92",9,"acceptable","mono","refl",1,"2a",5,"Polish"
"93",9,"unacceptable","di","poss",4,"2d",3,"Polish"
"94",9,"unacceptable","mono","poss",2,"3b",3,"Polish"
"95",9,"acceptable","di","refl",3,"3c",5,"Polish"
"96",9,"acceptable","mono","refl",1,"4a",4,"Polish"
"97",9,"unacceptable","di","poss",4,"4d",1,"Polish"
"98",9,"unacceptable","mono","poss",2,"5b",3,"Polish"
"99",9,"acceptable","di","refl",3,"5c",5,"Polish"
"100",9,"acceptable","mono","refl",1,"6a",5,"Polish"
"101",9,"unacceptable","di","poss",4,"6d",3,"Polish"
